Name,Quantity,Component
"U3",1," Arduino Uno R3"
"U5",1,"MCP23008-based, 32 (0x20) LCD 16 x 2 (I2C)"
"R1, R3, R4",3,"1 kΩ Resistor"
"D1, D2, D3",3,"Red LED"
"U1",1," Temperature Sensor [TMP36]"
